"participantID","block","randomSeed","letterSeparation","letterEccentricity","itemRate","condition","expDegrees","letterOrder1","target1","response1","responseLetter1","RT1","letterOrder2","target2","response2","responseLetter2","RT2","endTime","resp1otherStream","resp2otherStream","condName","oneQueriedFirst"
"AR","2",210880.5,8.485281,6,8,"1","0,180","3,23,6,1,4,10,13,8,15,18,2,24,16,22,20,19,12,14,5,11,9,21,17,7","17",17,"12","5.56403484009206","22,19,18,1,14,23,16,3,13,21,9,15,11,2,6,24,7,12,5,8,20,10,4,17","17",17,"7","2.98644474614412",736193.6,18,24,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","22,5,13,7,17,15,19,16,3,14,20,8,1,2,12,10,4,6,21,11,18,24,9,23","8",8,"16","2.65113163786009","4,12,7,1,20,10,2,3,19,5,9,14,8,16,21,23,13,17,6,22,24,11,18,15","8",9,"19","4.96277502691373",736193.6,14,7,"Canonical",FALSE
"AR","2",210880.5,8.485281,6,8,"1","0,180","6,14,22,8,13,10,17,23,4,2,18,20,12,3,7,11,19,9,24,21,15,1,5,16","12",12,"20","5.68818773096427","24,22,16,7,4,5,21,17,3,15,11,13,2,14,18,19,6,23,12,9,8,20,10,1","12",12,"13","2.80022513284348",736193.6,22,5,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","2,9,8,6,5,12,23,24,1,10,17,15,21,7,18,19,20,14,11,16,4,3,22,13","7",8,"24","3.94814948784187","11,12,9,10,13,1,7,4,16,3,6,14,17,22,20,19,8,24,2,5,18,23,15,21","7",8,"4","2.06037340289913",736193.6,18,21,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","5,22,23,15,19,9,8,6,11,18,2,13,20,3,21,17,24,14,7,12,4,1,10,16","17",17,"24","2.18057315913029","2,8,6,7,13,18,4,9,1,17,11,3,24,21,16,15,19,10,22,14,23,5,20,12","17",17,"19","4.02924796310253",736193.6,13,5,"Canonical",FALSE
"AR","2",210880.5,8.485281,6,8,"1","0,180","8,9,3,1,20,7,15,13,16,22,21,19,14,24,11,4,12,23,17,5,10,18,2,6","14",14,"24","6.12226664507762","19,23,12,1,2,21,11,15,20,14,4,16,6,3,13,22,8,7,9,5,24,18,10,17","14",1,"19","4.30563214188442",736193.6,21,12,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","21,2,22,3,15,11,17,10,20,18,9,4,5,23,12,13,16,6,24,7,8,19,14,1","16",15,"12","11.9995608129539","7,8,19,15,2,21,23,12,22,10,5,20,18,4,1,16,9,24,17,11,6,3,13,14","16",21,"6","10.2069384190254",736193.6,8,18,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","20,11,14,12,4,23,6,16,10,9,13,5,1,2,22,18,17,19,15,21,3,7,8,24","15",15,"22","3.67962769698352","19,24,7,17,21,2,22,9,20,5,11,13,3,6,1,15,14,23,10,18,16,8,4,12","15",15,"1","2.12018191907555",736193.6,7,13,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","7,5,22,3,14,18,11,21,24,12,8,19,1,20,4,13,10,16,17,6,9,15,23,2","8",8,"21","4.05193575797603","11,18,3,17,7,24,2,10,8,21,4,16,12,6,5,20,15,1,22,9,13,23,14,19","8",8,"10","2.26966652693227",736193.6,10,17,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","17,5,6,8,19,13,10,9,3,23,11,2,15,22,24,12,18,21,7,4,1,20,14,16","9",10,"23","3.75178960990161","19,18,2,12,16,15,13,10,14,6,20,23,17,24,11,8,21,9,4,5,7,22,3,1","9",5,"16","2.39276546984911",736193.6,12,24,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","3,10,2,14,15,19,6,24,17,11,20,8,18,4,7,9,16,13,5,1,21,12,23,22","13",13,"18","2.15473433607258","21,13,4,7,1,15,14,23,22,24,9,12,5,6,10,17,18,16,19,3,11,2,20,8","13",13,"5","6.23442387301475",736193.6,17,19,"Canonical",FALSE
"AR","2",210880.5,8.485281,6,8,"1","0,180","11,24,1,2,22,8,17,10,14,21,6,23,9,13,16,18,5,4,15,20,19,7,3,12","18",17,"5","2.34769450617023","22,9,5,15,12,14,24,10,6,17,3,21,16,18,19,7,23,8,20,11,13,1,2,4","18",15,"19","4.77154540014453",736193.6,3,21,"Canonical",FALSE
"AR","2",210880.5,8.485281,6,8,"1","0,180","7,18,14,9,11,8,23,19,12,6,3,22,10,17,13,24,2,1,15,4,5,16,20,21","16",16,"24","1.71645240602084","1,2,19,14,21,23,24,20,8,17,3,9,7,22,11,4,18,13,16,6,15,12,10,5","16",16,"4","3.28440603194758",736193.6,7,20,"Canonical",FALSE
"AR","2",210880.5,8.485281,6,8,"1","0,180","20,22,7,14,4,13,21,9,19,18,15,12,5,23,17,11,1,8,3,10,6,24,16,2","14",15,"17","3.84916501305997","11,4,2,1,8,14,22,12,15,13,23,17,19,3,16,7,24,20,5,10,6,21,9,18","14",6,"14","2.23488619388081",736193.6,12,4,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","5,23,7,21,11,2,15,20,4,3,8,17,9,14,19,12,6,24,10,18,1,13,22,16","13",14,"14","4.49385408405215","9,6,24,16,22,7,4,20,8,23,12,21,3,19,10,5,13,17,14,11,2,18,1,15","13",14,"19","2.22949432604946",736193.6,19,15,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","15,14,8,20,9,7,16,19,6,17,1,12,23,21,13,24,18,3,11,22,2,10,4,5","9",9,"6","1.58106578397565","12,2,19,23,21,13,14,5,15,3,8,10,1,9,20,7,22,16,11,24,4,18,17,6","9",9,"15","4.3089869399555",736193.6,24,1,"Canonical",FALSE
"AR","2",210880.5,8.485281,6,8,"1","0,180","19,7,3,16,1,21,13,6,23,11,15,12,20,18,14,10,4,24,9,22,17,8,2,5","7",6,"21","4.84265141817741","6,12,18,4,15,16,13,1,5,3,9,14,10,17,7,23,8,19,22,21,20,24,2,11","7",8,"1","1.98550408217125",736193.6,20,5,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","22,20,15,7,24,14,11,4,2,8,12,16,6,9,18,23,19,3,1,10,13,21,5,17","11",11,"12","3.48128185607493","19,2,14,16,8,21,18,3,1,4,23,15,9,22,10,7,24,6,5,11,13,20,17,12","11",12,"15","1.97704451996833",736193.6,24,3,"Canonical",TRUE
"AR","2",210880.5,8.485281,6,8,"1","0,180","3,6,11,9,18,13,17,22,14,23,1,21,20,15,10,19,2,16,12,5,24,7,4,8","15",15,"10","4.56179368495941","23,5,12,17,2,1,4,6,14,13,16,10,24,21,20,11,19,8,15,22,3,9,7,18","15",3,"12","3.01104539982043",736193.6,12,19,"Canonical",TRUE
